Time	EMG	Muscle Force
17.568	-0.43134	0.217617
17.569	-0.283982	0.217617
17.57	-0.105025	0.217617
17.571	-0.133276	0.217617
17.572	-0.319813	0.217617
17.573	0.899132	0.217617
17.574	1.45494	0.217617
17.575	0.389972	0.217617
17.576	-1.22131	0.217617
17.577	-1.90906	0.217617
17.578	-0.243531	0.217617
17.579	0.787107	0.217617
17.58	0.887604	0.217617
17.581	0.569594	0.217617
17.582	0.168119	0.217617
17.583	-0.164042	0.217617
17.584	-0.446973	0.217617
17.585	-0.488514	0.217617
17.586	-0.277145	0.217617
17.587	-0.000853734	0.217617
17.588	-0.247439	0.217617
17.589	0.0297637	0.217617
17.59	1.19193	0.217617
17.591	1.30992	0.217617
17.592	-0.144987	0.217617
17.593	-1.59098	0.217617
17.594	-1.5682	0.217617
17.595	0.218428	0.217617
17.596	0.751099	0.217617
17.597	0.746459	0.217617
17.598	0.511379	0.217617
17.599	0.171142	0.217617
17.6	-0.241969	0.217617
17.601	-0.433202	0.217617
17.602	-0.36589	0.217617
17.603	-0.272162	0.217617
17.604	-0.113842	0.217617
17.605	-0.408387	0.217617
17.606	0.446915	0.217617
17.607	1.39739	0.217617
17.608	0.991994	0.217236
17.609	-0.617448	0.217617
17.61	-1.78128	0.217236
17.611	-1.00643	0.217617
17.612	0.486107	0.217617
17.613	0.793308	0.217236
17.614	0.660245	0.217617
17.615	0.329212	0.217236
17.616	-0.0212865	0.217617
17.617	-0.261269	0.217617
17.618	-0.364097	0.217617
17.619	-0.332886	0.217236
17.62	-0.185675	0.217236
17.621	-0.18896	0.217236
17.622	-0.411492	0.217236
17.623	0.864425	0.217617
17.624	1.50433	0.217236
17.625	0.528614	0.217236
17.626	-1.07236	0.217236
17.627	-1.89686	0.217236
17.628	-0.390943	0.217617
17.629	0.681719	0.217236
17.63	0.79777	0.217236
17.631	0.585214	0.217236
17.632	0.233612	0.217236
17.633	-0.109055	0.217236
17.634	-0.341464	0.217236
17.635	-0.421463	0.217236
17.636	-0.347049	0.217236
17.637	-0.130323	0.217236
17.638	-0.23854	0.217236
17.639	0.00516113	0.217236
17.64	1.1598	0.217236
17.641	1.32231	0.217236
17.642	-0.0620288	0.217236
17.643	-1.49692	0.217236
17.644	-1.63314	0.217236
17.645	0.154551	0.217236
17.646	0.767534	0.217236
17.647	0.782121	0.217236
17.648	0.505318	0.217236
17.649	0.107899	0.217236
17.65	-0.220524	0.217236
17.651	-0.39111	0.217236
17.652	-0.419229	0.217236
17.653	-0.264093	0.217236
17.654	-0.0792815	0.217236
17.655	-0.418542	0.217236
17.656	0.393756	0.217236
17.657	1.43946	0.217236
17.658	1.10301	0.217236
17.659	-0.596595	0.217236
17.66	-1.89623	0.217236
17.661	-1.18469	0.217236
17.662	0.533529	0.217236
17.663	0.92277	0.217236
17.664	0.753355	0.217236
17.665	0.31949	0.217236
17.666	-0.0605211	0.217236
17.667	-0.306735	0.217236
17.668	-0.409687	0.217236
